deal_title,investor_company,investor_role,investment_amount_usd
HydroCision — Later Stage VC (2025-04),"BioVentures Investors, Volcano Capital",PARTICIPANT,
ArisGlobal — Debt - General (2025-03),"Abbhi Capital, Athyrium Capital Management, Nordic Capital",PARTICIPANT,
Belmont Medical Technologies — Debt - General (2025-03),"Audax Private Equity, Five Points Capital, Massachusetts Workforce Training Fund General Program",PARTICIPANT,
Hilltop Bio — Later Stage VC (2025-03),"Ag Startup Engine, Band of Angels, Beacon Venture Partners, Ben Littauer, Cherrystone Angel Group, Golden Seeds, Launchpad Venture Group, Mid Atlantic Bio Angels, Moodoos Investments, SideCar Angels, Walnut Ventures",PARTICIPANT,
Visterra — Later Stage VC (2025-03),AB Private Credit Investors,PARTICIPANT,
Zelis Healthcare — Debt - General (2025-03),"Bain Capital, Bain Capital Ventures, BPEA Private Equity, Edison Partners, Ergo Partners, HarbourVest Partners, Mubadala Investment Company, Norwest, Parthenon Capital Partners",PARTICIPANT,
ClearCompany — Dividend Recapitalization (2025-03),"Gemspring Capital, Monroe Capital",PARTICIPANT,
AIRNA — Early Stage VC (2025-03),"Alexandria Venture Investments, ARCH Venture Partners, Codon Capital, Fast Track Initiative, Forbion, LifeLink Ventures, ND Capital, Nextech Invest, Novalis LifeSciences, Ono Venture Investment, Pathway Bioventures, RTW Investments, Venrock",PARTICIPANT,
Myrobalan Therapeutics — Grant (2025-03),"3E Bioventures Capital, AB Magnitude Ventures Group, Cambridge Scientific Products, Co-Win Ventures, Guanzi Capital, Johnson & Johnson Innovation - JLABS, National Multiple Sclerosis Society (NMSS), Proxima Ventures (China), The ALS Association",PARTICIPANT,
Surgicure Technologies — Seed Round (2025-03),"Bad Bitch Empire, BakerBridge Capital, Bantam Group, BBE Ventures, Beacon Angels, Gurtin Ventures, Launchpad Venture Group, MIT Sandbox, National Science Foundation Innovation Corps Program, SBXi, SideCar Angels, Techstars, Tidal River Women's Investor Group, TiE Angels Boston, TiE-Boston, Veloric Center for Entrepreneurship, VentureWell, Wayne State University Endowment",PARTICIPANT,
PhenoML — Seed Round (2025-03),Plug and Play Tech Center,PARTICIPANT,
CranioSense — Seed Round (2025-03),"Cade Museum, Heinz Ventures, Illini Angels, MassChallenge, MedTech Innovator, Techstars, Texas Medical Center",PARTICIPANT,
NanoMosaic — Later Stage VC (2025-03),"28 Capital, Gershon Capital, Insight Partners (New York), Pura Vida Investments, RA Capital Management, Time BioVentures",PARTICIPANT,
Professional Electrical Contractors of Connecticut — PE Growth/Expansion (2025-02),Alaris Equity Partners,PARTICIPANT,
Bambusa Therapeutics — Early Stage VC (2025-02),"ADAR1 Capital Management, BVF Partners, Dawn Biopharma, INCE Capital, Janus Henderson Investors, Kohlberg Kravis Roberts, RA Capital Management, Redmile Group, Salvia (Holzkirchen), The Invus Group",PARTICIPANT,
Keragon — Seed Round (2025-02),"25m Health, 25madison, Afore Capital, Elliott Cohen, Endeavor Greece, Focal (VC), LifePoint Health, Upfront Ventures",PARTICIPANT,
Terrain Bio — Seed Round (2025-02),"Bruker, Hans Bishop, Hawktail, John Evans, John Maraganore, Josef Feldman, Magnetic Ventures, MassBio, Solari Capital",PARTICIPANT,
Alzheon — Later Stage VC (2025-02),"Alerce Investment Management, Ally Bridge Group, Aptorum Group, HCL Capital, Ron Sachs, Scott Cohen, The National Institute on Aging (NIA), Thornapple River Capital",PARTICIPANT,
Leerink Partners — PE Growth/Expansion (2025-02),The Baupost Group,PARTICIPANT,
Ormoni Biosciences — Seed Round (2025-02),"Pillar VC, True Ventures",PARTICIPANT,
Abcuro — Later Stage VC (2025-02),"Aberdeen, Bain Capital Life Sciences, BlackRock, Eurofarma Ventures, Foresite Capital, Hongsen Investment, Kaitai Capital, Mass General Brigham Innovation, Mass General Brigham Ventures, Myeloma Investment Fund, New Enterprise Associates, New Leaf Venture, Pontifax Venture Capital, RA Capital Management, Redmile Group, Samsara BioCapital, Sanofi Ventures, ShangBay Capital, Soleus Capital, U.S. Department of Health and Human Services",PARTICIPANT,
Comma (Personal Products) — Later Stage VC (2025-02),"Jumpstart Foundry, Nashville Entrepreneur Center, Right Side Capital Management, Techstars",PARTICIPANT,
Cenos Therapeutics — Seed Round (2025-01),"Cure Ventures, UCB Ventures",PARTICIPANT,
Axial Therapeutics — Later Stage VC (2025-01),"AIF, ATEL Capital Group, Bayshore Global Management, Corundum Systems Biology, Domain Associates, Heritage Medical Systems, Kairos Ventures, Longwood Fund, Michael J. Fox Foundation, OneVentures, Reimagined Ventures, Seventure Partners, Taiho Ventures, UTokyo Innovation Platform Company",PARTICIPANT,
Athenahealth — Debt - Acquisition (2025-01),"Ares Management, Bain Capital, Bain Capital Tech Opportunities, Ergo Partners, GIC Private, Hellman & Friedman",PARTICIPANT,
TetraScience — Mezzanine (2025-01),"Alkeon Capital Management, BR Venture Fund, Digital Science, Dorm Room Fund, First Round Capital, Floodgate, Founder Collective, GC Venture Fellows, Harvard Innovation Launch Lab, Impetus Ventures, Infinite Road, Insight Partners (New York), Jude Gomila, Karlin Ventures, Suleman Ali, Thermal, TriplePoint Capital, True Equity, Underscore VC, Waters, Wavemaker Partners, Y Combinator",PARTICIPANT,
Definitive Healthcare (NAS: DH) — Debt Refinancing (2025-01),"Advent International, Spectrum Equity",PARTICIPANT,
Droplet Biosciences — Early Stage VC (2025-01),"Engine Ventures, Ideaship, Labcorp Venture Fund, Laboratory Corporation of America, North South Ventures, Safar Partners, The Engine",PARTICIPANT,
Curadel Pharma — Later Stage VC (2025-01),"National Cancer Institute, National Institute of Biomedical Imaging and Bioengineering, National Institute of Dental and Craniofacial Research",PARTICIPANT,
MedMinder — Later Stage VC (2025-01),Accelmed,PARTICIPANT,
Intralytics — Early Stage VC (2025-01),Momentum Equity Partners,PARTICIPANT,
Jeevan Therapeutics — Early Stage VC (2025-01),Imbolc Partners,PARTICIPANT,
Kyra Health — Early Stage VC (2025-01),Dorm Room Fund,PARTICIPANT,
Liza Health — Seed Round (2025-01),"Define Ventures, Koa Labs, New Enterprise Associates",PARTICIPANT,
Lynx (Financial Software) — Early Stage VC (2025-01),".406 Ventures, CVS Health Ventures, Flare Capital Partners, Frist Cressey Ventures, Huntington Avenue Ventures, McKesson Ventures, Obvious Ventures, Shields Health Innovations, Winter Street Ventures",PARTICIPANT,
Vivtex — Later Stage VC (2025-01),"Cambridge Scientific Products, Cobro Ventures, Endless Frontier Labs, LabCentral, Minnow Venture Partners, Portal Innovations",PARTICIPANT,
Whoop — Later Stage VC (2025-01),"Access Capital (Dallas), Accomplice VC, AMKM Investments, Animal Capital, Atlas Venture, Bose Ventures, CAVU Consumer Partners, Collaborative Fund, D20 Capital, David Stern, Drive by DraftKings, Ed Baker, Eli Manning, Eric Paley, Flight Fund, Founder Collective, Foundry Group, Gaingels, GP Bullhound, Harvard Innovation Launch Lab, Hercules Capital (San Mateo), Infosys, IVP, Jack Dorsey, Justin Thomas, Kivu Ventures, Larry Fitzgerald, LionTree Partners, Marc Randolf, Meros Equity Global Management, Michael Collett, Michael Novogratz, Mount Auburn Venture Partners, Mousse Partners, NextView Ventures, NFL Players Association, Nicholas Negroponte, OneTeam Collective, Passive Impact, Patrick Mahomes, Peter Attia, Promus Ventures, Resolute Ventures, Riverside Ventures, Rory McIlroy, Rosecliff Venture Partners, Russell Okung, SoftBank Investment Advisers, SuRo Capital, Susa Ventures, SVB Financial Group, TeleSoft Partners, Thirty Five Ventures, Thursday Ventures, Trinity Capital (Phoenix), Two Sigma Investments, Two Sigma Ventures, UAE71 Capital, Valley Oak Investments",PARTICIPANT,
Piton Therapeutics — Later Stage VC (2024-12),"ABI LAB, Future Capital Discovery Fund, Hong Kong Jiuhe Cloud Investment, K2VC, NYMPH Investments, Plum Ventures, Prescience Point Capital Management, Zheng Partners",PARTICIPANT,
Portal Biotechnologies — Seed Round (2024-12),"10X Capital, Conscience, IA Ventures, IKJ Capital, Page One Ventures, Pear (California), Scale Good Fund, Undeterred Capital",PARTICIPANT,
Tessera Therapeutics — Later Stage VC (2024-12),"Abu Dhabi Investment Authority, Alaska Permanent Fund, Altitude Life Science Ventures, ARTIS Ventures, Catalio Capital Management, Cormorant Asset Management, EDBI, Flagship Pioneering, Foresite Capital, Gates Foundation, Hanwha Impact, JUMP Investors, Longevity Vision Fund, March Capital, OMX Ventures, Parami Investors, Qatar Investment Authority, Salt Funds Management, Shake and Bake, SoftBank Investment Advisers, Solari Capital, T. Rowe Price Group, TA Ventures, Toba Capital, University of California, Berkeley, Upsher Management Company",PARTICIPANT,
SanaHeal — Later Stage VC (2024-12),"Archerman Capital, E14 Fund, FuturePlay, MedTech Innovator, MedVenture Partners (Japan), Mint Venture Partners, MIT Deshpande Center, MIT Sloan Healthcare and BioInnovations Conference, MIT Venture Mentoring Service, Murex Partners, SBXi, Taihill Venture, The Biomimicry Institute, The Engine, The ZOLL Foundation, University of Toronto Entrepreneurship",PARTICIPANT,
Triumvirate Environmental — Buyout/LBO (2024-12),Berkshire Partners,PARTICIPANT,
Rowan (Boston) — Seed Round (2024-12),"AI Grant, Pillar VC",PARTICIPANT,
Little Sparrows Technologies — Later Stage VC (2024-12),"FHI Ventures, MassChallenge, MedTech Innovator, NIH Seed",PARTICIPANT,
Scripta Insights — Later Stage VC (2024-12),"Aquiline (New York), CEAS Investments I, Contour Venture Partners, Eastside Partners, Pillar VC, Pleasant Bay Capital Partners, ReMY Investors & Consultants, SeedToB Capital, Western Technology Investment",PARTICIPANT,
OSSIO — Later Stage VC (2024-12),"Arc Ventures (United States), Courage Capital Management, MVM Partners, OCV Partners, Ortho Vision, OurCrowd, Questa Capital, Secocha Ventures",PARTICIPANT,
Parlance — Merger/Acquisition (2024-12),Volaris Group,PARTICIPANT,
Tausight — Later Stage VC (2024-12),".406 Ventures, Ascend Venture Capital (Seattle), Flare Capital Partners, Intel Ignite, Polaris Partners, SpringRock Ventures",PARTICIPANT,
Sensible Biotechnologies — Seed Round (2024-11),"Amino Collective, Andrej Kiska, Backed VC, BlueYard Capital, Civilization Ventures, Deep Tech Lab - Quantum, Endless Frontier Labs, Florian Schuster, Ginkgo Bioworks, Gold Track, Isomer Capital, Jason Foster, Kaya VC, Loop Ventures (Asset Management), Martin Rajcan, Martin Valovsky, NAVEC Investment Management, Onsight Ventures, Peter Gajdos, Possible Ventures, Recode Health Ventures, Springboard Health Angels, Tiny Supercomputer Investment Company, Y Combinator, ZAKA VC",PARTICIPANT,
EBVio — Seed Round (2024-11),Red Tree Venture Capital,PARTICIPANT,
dannce.ai — Seed Round (2024-11),"Duke Capital Partners, Glasswing Ventures, LDV Capital, Leo Lion, Merck Digital Sciences Studio, Service Provider Capital",PARTICIPANT,
Great Hill Partners — Debt - General (2024-11),Blackstone,PARTICIPANT,
Rhapsody (Enterprise Systems) — PE Growth/Expansion (2024-11),"Hg, HgCapital Trust, Orion Health Group",PARTICIPANT,
CSL Consulting — Buyout/LBO (2024-11),NMS Capital,PARTICIPANT,
Alegeus Technologies — Buyout/LBO (2024-11),Vista Equity Partners,PARTICIPANT,
Amplitude Therapeutics — Grant (2024-11),"Alta Partners, ARCH Venture Partners, Coalition for Epidemic Preparedness Innovations, Gates Foundation, Newpath Partners",PARTICIPANT,
Alpha-9 Oncology — Later Stage VC (2024-10),"Aberdeen, Andreessen Horowitz, Ascenta Capital, BVF Partners, Delos Capital Partners, Digitalis Ventures, Frazier Healthcare Partners, General Catalyst, Janus Henderson Investors, Lightspeed Venture Partners, Longitude Capital, Lumira Ventures, Nextech Invest, RA Capital Management, Samsara BioCapital, The University of British Columbia, WUTIF Capital",PARTICIPANT,
Summa (Surgical Devices) — Seed Round (2024-10),MedTech Innovator,PARTICIPANT,
Sunbird Bio — Early Stage VC (2024-10),"Alumni Ventures, ARCH Venture Partners, Catalio Capital Management, ClavystBio, DNS Capital, EDBI, Eli Lilly, New Leaf Venture, Polaris Partners, Rivas Capital, S32",PARTICIPANT,
Abacus Insights — Later Stage VC (2024-10),".406 Ventures, AWS Clean Energy Accelerator 4.0, Blue Venture Fund, Claritev, CRV, Echo Health Ventures, Escalate Capital Partners, Flux Ventures, Horizon Blue Cross Blue Shield of New Jersey, Tech Council Ventures",PARTICIPANT,
Permeasis — Seed Round (2024-10),Cure Ventures,PARTICIPANT,
RevOps Health — Later Stage VC (2024-10),Magic Fund,PARTICIPANT,
SynDevRx — Later Stage VC (2024-10),"Doug Bates, Katya Tsaioun",PARTICIPANT,
Holobiome — Seed Round (2024-10),"ABI LAB, Able Partners, Argonautic Ventures, Astanor Ventures, Bantam Group, Bluebirds Capital, Corundum Systems Biology, Deep Future, HealthTech Capital, IDEA (Boston), iSelect Fund, Johnson & Johnson Innovation - JLABS, Johnson&Johnson Innovative Medicine, Massachusetts Life Sciences Center, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, National Institutes of Neurological Disorders and Stroke, Niremia Collective, One Mind, Pace Ventures, Satori Capital, Service Provider Capital, SkyRiver Ventures, The Translational Research Institute for Space Health, Totipotent Capital, Valor Equity Partners",PARTICIPANT,
Centaur.ai — Later Stage VC (2024-10),"186 Ventures, Accel, Alex Wang, Alumni Ventures, Aneesh Chopra, Chestnut Street Ventures, Elliott Cohen, Global Founders Capital, Grant Park Ventures, Hack VC, Jake Klamka, John Capodilupo, Kevin Carter, Matrix, MIT Delta V, Night Capital, Omega Venture Partners, PharmStars, Richard Morrison, Robert May, Samsung NEXT Ventures, SBXi, SignalFire, Sunil Paul, Susa Ventures, Tom Lee, Travis May, Virtue (Austin), Y Combinator",PARTICIPANT,
City Therapeutics — Early Stage VC (2024-10),"Altitude Life Science Ventures, AN Ventures, ARCH Venture Partners, Fidelity Management & Research Company, Regeneron Ventures, Rock Springs Capital, Slate Path Capital, The Invus Group",PARTICIPANT,
Connective Health — Seed Round (2024-10),"Activate Venture Partners, Diagram Collective, Nina Capital, Two Lanterns Venture Capital",PARTICIPANT,
Judo Bio — Early Stage VC (2024-10),"Alexandria Venture Investments, Atlas Venture, Digitalis Ventures, Droia Ventures, Euclidean Capital, The Column Group, YK Bioventures",PARTICIPANT,
Wellwithall — Early Stage VC (2024-10),Valor Equity Partners,PARTICIPANT,
GI Windows — Later Stage VC (2024-10),"Frederic Moll, GT Healthcare Capital Partners, JC Investco, Johnson & Johnson Innovation - JJDC, Orlando Health Ventures, Rex Health Ventures, Sonder Capital Management",PARTICIPANT,
Be Biopharma — Later Stage VC (2024-10),"Alta Partners, ARCH Venture Partners, Atlas Venture, Bristol-Myers Squibb, Bristol-Myers Squibb Foundation, DC Investment Partners, Longwood Fund, Nextech Invest, Pathway to Cures, RA Capital Management, Takeda Ventures",PARTICIPANT,
Massachusetts General Hospital — Grant (2024-10),ARPA-H,PARTICIPANT,
Mirai Bio — Early Stage VC (2024-09),Flagship Pioneering,PARTICIPANT,
Gatehouse Bio — Later Stage VC (2024-09),"ABI LAB, Claritas Capital, Front Row, IndieBio, SOSV Investments",PARTICIPANT,
GC Therapeutics — Later Stage VC (2024-09),"Alumni Ventures, Andreessen Horowitz, Calm Ventures, Cercano Management, Cormorant Asset Management, Gaingels, Global Brain, Harvard Innovation Launch Lab, Humboldt Fund, Medical Excellence Capital, Mubadala Capital, Pear (California)",PARTICIPANT,
Cellino — Grant (2024-09),"8VC, ARPA-H, BrainMind, Engine Ventures, Felicis, Harvard University, Hawktail, Humboldt Fund, Khosla Ventures, Leaps by Bayer, MassChallenge, MIT Startup Exchange, SPIE Startup Challenge, The Engine",PARTICIPANT,
Paragonix — Merger/Acquisition (2024-09),U.S. Department of Health and Human Services,PARTICIPANT,
Alivia Analytics — PE Growth/Expansion (2024-09),"Council Capital, Health Enterprise Partners, The JHA Capital, TiE-Boston",PARTICIPANT,
Equitable Technologies — Seed Round (2024-09),500 Global,PARTICIPANT,
BITT (Drug Discovery) — Grant (2024-08),"BeOne Medicines, EGP Capital, Hatteras Venture Partners, Lyfebulb, National Cancer Institute, National Institutes of Health",PARTICIPANT,
Abata Therapeutics — Early Stage VC (2024-08),"Bristol-Myers Squibb, ElevateBio, Eurofarma Ventures, Lightspeed Venture Partners, Samsara BioCapital, T1D Fund, The Invus Group, Third Rock Ventures",PARTICIPANT,
Nested Therapeutics — Early Stage VC (2024-08),"Avidity Partners, Blue Owl Capital, Cowen Healthcare Investments, Foresite Capital, S32, Sixty Degree Capital, The Goldman Sachs Group, Versant Ventures",PARTICIPANT,
Endolytix — Early Stage VC (2024-08),"InnoVentures Lab, Kineticos Life Sciences Management, Morningside Group",PARTICIPANT,
Aldatu Biosciences — Grant (2024-08),"CH Innovations, Harvard Innovation Launch Lab, Harvard University, Massachusetts Life Sciences Center, National Institute Of Allergy and Infectious Diseases, Pagliuca Harvard Life Lab, ScienceVest, TCA Venture Group, Verizon Wireless",PARTICIPANT,
Scipher Medicine — Later Stage VC (2024-07),"Alumni Ventures, aMoon Fund, bpd partners, Cobalt Ventures (Private Equity), Cowen Healthcare Investments, Echo Health Ventures, Hitachi Ventures, Khosla Ventures, Laurion Capital Management, Monashee Investment Management, Neuberger Berman, Northpond Ventures, Optum Ventures, Springboard Enterprises, Tachyon Ventures, Tait Larson, UnitedHealth Group",PARTICIPANT,
Spear Bio — Early Stage VC (2024-07),"Bio-Techne, CDH Investments, Foresite Capital, Hongshan Capital Group, Maverick Ventures, Yonghua Capital, Yonjin Venture",PARTICIPANT,
InGel Therapeutics — Seed Round (2024-07),"Allston Venture Fund, Alumni Ventures, Bacchus Venture Capital, Calm Ventures, Endless Frontier Labs, Harvard Innovation Launch Lab, MassBio, MassVentures, NFX, Nucleate, Riviera Holdings Venture Capital, SBXi, Service Provider Capital, The Venture Collective, Winning Pitch Challenge, ZAKA VC",PARTICIPANT,
HealthPoint Plus — Merger/Acquisition (2024-07),EcoPlus,PARTICIPANT,
Manufacturing Of The Universal Oxygen Carrier ((Bioxytran / The Heme Foundation / NDPD Pharma) — Joint Venture (2024-07),"Bioxytran, Heme Foundation, NDPD Pharma",PARTICIPANT,
Ceretype — Later Stage VC (2024-07),"Catalytic Impact Foundation, Cedar Street Group, Impact Assets, JLS Fund, Leafy Tunnel, One Mind, WPSS.bio",PARTICIPANT,
Dynamic Cell Therapies — Seed Round (2024-07),"Atossa Therapeutics, Cobro Ventures, Duck Island Holdings, Myeloma Investment Fund",PARTICIPANT,
Cardurion — Later Stage VC (2024-07),"Ascenta Capital, Bain Capital, Bain Capital Life Sciences, Blue Owl Capital, Deepwork Capital, Delos Capital Partners, Digitalis Ventures, Farallon Capital Management, Fidelity Management & Research Company, GV, Kenneth Novack, Millennium Management, New Enterprise Associates, Polaris Partners, Takeda Pharmaceutical, The Invus Group",PARTICIPANT,
Komo Biosciences — Seed Round (2024-07),"Eshelman Ventures, General Inception, Genesis BioCapital, LDV Partners, Modi Ventures",PARTICIPANT,
Outer Biosciences — Early Stage VC (2024-06),"Brighter Capital, Calm Ventures, Gaingels, Hawktail, Liquid 2 Ventures",PARTICIPANT,
Averna Therapeutics — Early Stage VC (2024-06),"Arc Ventures, Arc Ventures (United States), CRISPR Therapeutics, Deep Insight (Herzliya), Delos Capital Partners, Innovation Endeavors, Insight Partners (New York), JP Morgan Asset Management, JPMorgan Life Sciences Private Capital, Novartis Venture Fund, OrbiMed, The Invus Group",PARTICIPANT,
K2B Therapeutics — Early Stage VC (2024-06),Nautilus Investment (South Korea),PARTICIPANT,
New Frontier Bio — Early Stage VC (2024-06),"Ambrosia Investments, Taihill Venture",PARTICIPANT,
Predicta Biosciences — Seed Round (2024-06),"American Cancer Society, BrightEdge, Engine Ventures, Illumina Ventures, Oetgen family, The Engine, Time Partners",PARTICIPANT,
Edge Animal Health — Early Stage VC (2024-06),"Anterra Capital, Endeavor8, Gates Foundation",PARTICIPANT,
MoDoc AI — Early Stage VC (2024-06),"Jihoon Jeong, Sam Ahn, Sanghyun Ahn, TheVentures",PARTICIPANT,
Tesseract Medicines — Seed Round (2024-06),"Chengwei Capital, Curie.Bio, Gordian Ventures",PARTICIPANT,
UptimeHealth — Later Stage VC (2024-06),"10X Venture Partners, 2enable Partners, Aaron O'Hearn, Bantam Group, C2 Ventures, Caduceus Capital Partners, Dental Innovation Alliance, gBETA, Incisive Ventures, Jason Syversen, Jtango VC, Jumpstart Foundry, Kluz Ventures, Krishna Roy, Newfire Global Partners, North Coast Ventures, OneValley, Overline, Revere Partners, Spearhead (VC), TBD Angels, Techstars, Wavemaker Three-Sixty Health, William Crawford",PARTICIPANT,
Oxford Global Resources — Debt - General (2024-06),H.I.G. Capital,PARTICIPANT,
AcuityMD — Later Stage VC (2024-06),"Ajax Health, Artisanal Ventures, Atreides Management, Benchmark Capital (Other Financial Services), Benchmark Capital Holdings, ICONIQ Growth, Partners Fund Capital, Redpoint Ventures, Spearhead (VC), StepStone Group",PARTICIPANT,
Crane Biotherapeutics — Seed Round (2024-06),MPM BioImpact,PARTICIPANT,
Endpoint Clinical — Buyout/LBO (2024-06),"Arsenal Capital Partners, HealthQuest Capital",PARTICIPANT,
Konovo — Secondary Transaction - Private (2024-06),"Bain Capital Credit, Frazier Healthcare Partners, GV Investment Managers, Leavitt Equity Partners",PARTICIPANT,
VLogic Systems — PE Growth/Expansion (2024-06),Northrim Horizon,PARTICIPANT,
Candela Medical — Buyout/LBO (2024-05),Apax Partners,PARTICIPANT,
Lucy Therapeutics — Later Stage VC (2024-05),"Bill Gates, Catalytic Impact Foundation, Cavendish Global, Endless Frontier Labs, Engine Ventures, Impact Assets, Massachusetts Life Sciences Center, Michael J. Fox Foundation, Parkinson's UK, Pivotal bioVenture Partners, Safar Partners",PARTICIPANT,
T33 — Early Stage VC (2024-05),"Dorm Room Fund, MIT Delta V, Pillar VC, SBXi, VentureWell",PARTICIPANT,
Ark Biotech — Early Stage VC (2024-05),"Hawktail, HCVC, Lowercase Capital, Night Capital, Primary Venture Partners, Siddhi Capital, The Engine",PARTICIPANT,
Zakipoint Health — PE Growth/Expansion (2024-05),"Adam Ghander, Ansley Capital Group, Eric Beyer, Gaugarin Oliver, Harvard Business School Alumni Angels of India, James Kalustian, MassChallenge, Paul Jaggi, Praveen Tailam, Ramesh Motwane, RevUp Capital, Roopa Unnikrishnan, Thomas Craig, TiE-Boston",PARTICIPANT,
InterPro Solutions — Buyout/LBO (2024-05),Galanthus Partners,PARTICIPANT,
RxCap — Later Stage VC (2024-05),Gerresheimer,PARTICIPANT,
Arclight Therapeutics — Early Stage VC (2024-05),"Angelini Ventures, Dolby Family Ventures, Lumira Ventures, Mission BioCapital, Ono Venture Investment",PARTICIPANT,
Brace Health — Seed Round (2024-05),"Bessemer Venture Partners, Eniac Ventures, Underscore VC",PARTICIPANT,
Fertu — Early Stage VC (2024-04),"Character (VC), SBXi",PARTICIPANT,
Red Arrow Therapeutics — Seed Round (2024-04),"Berkeley SkyDeck, Berkeley SkyDeck Fund, Beyond Next Ventures, Keio Innovation Initiative, MassChallenge, Osaka University Venture Capital, The University of Tokyo Edge Capital",PARTICIPANT,
Yonalink — Later Stage VC (2024-04),"Debiopharm Innovation Fund, eHealth Ventures (Israel), European Innovation Council, Ginossar Ventures, Horizon Europe, Innovation Authority, RISE (Accelerator)",PARTICIPANT,
Glycologix — Seed Round (2024-04),"Cortado Ventures, eCoast Angels, InnoVentures Lab, National Institute of Diabetes and Digestive and Kidney Diseases",PARTICIPANT,
AION Biosystems — PE Growth/Expansion (2024-04),"Innova Capital Partners, NWS Holdings (United States)",PARTICIPANT,
Ansella Therapeutics — Early Stage VC (2024-03),"Axon Healthcare Investments, Eckuity, Forepont Capital Partners, Massachusetts Medical Device Development Center",PARTICIPANT,
Skedda — PE Growth/Expansion (2024-03),"Canadian Imperial Bank of Commerce, Five Elms Capital, PorterShed",PARTICIPANT,
Cerevance — Later Stage VC (2024-03),"Agent Capital, Bioluminescence Ventures, Casdin Capital, Dolby Family Ventures, Double Point Ventures, Foresite Capital, Gates Frontier, GV, Liferock Ventures (Venture Capital)), Lightstone Ventures, SV Health Investors, Takeda Ventures, UPMC Enterprises, William Gates",PARTICIPANT,
RxSense — Mezzanine (2024-03),Parthenon Capital Partners,PARTICIPANT,
Clozex Medical — Later Stage VC (2024-03),"Thornapple River Capital, WFD Ventures",PARTICIPANT,
PrepMD — Debt - General (2024-03),"Infinitive Capital, University Ventures",PARTICIPANT,
HasenTech — Early Stage VC (2024-03),"Maroon Venture Partners, National Institutes of Health, University of Massachusetts Amherst",PARTICIPANT,
Orionis Biosciences — Later Stage VC (2024-03),"AJU IB Investment, Andrew Wang, Build Collective, Cormorant Asset Management, Empire Angels, Excel Venture Management, Ghent University, Ihar Mahaniok, Novartis, Peter Gonzalez, Pranav Amin, Solari Capital, Solasta Ventures, V-Bio Ventures, VIB",PARTICIPANT,
Typewriter Therapeutics — Early Stage VC (2024-02),"AN Ventures, ANRI, Bayer Co.Lab incubators, RA Capital Management",PARTICIPANT,
OcuTerra Therapeutics — Later Stage VC (2024-02),"Allied Minds, Invesco, Salica Investments, Woodford Investment Management",PARTICIPANT,
Alku — Leveraged Recapitalization (2024-02),"FFL Partners, New Mountain Capital, WestView Capital Partners",PARTICIPANT,
Lydonia Technologies — PE Growth/Expansion (2024-02),Caltius Equity Partners,PARTICIPANT,
Privo Technologies — Grant (2024-01),"AIM-HI, Massachusetts Institute of Technology, MassChallenge, MIT Deshpande Center, National Cancer Institute, National Institute of Dental and Craniofacial Research, National Institutes of Health, U. S. National Science Foundation, U.S. Department of Health and Human Services, U.S. Food and Drug Administration",PARTICIPANT,
ZWI Therapeutics — Early Stage VC (2024-01),"Co-Win Ventures, Sherpa Healthcare Partners",PARTICIPANT,
Remix Therapeutics — Later Stage VC (2024-01),"Alexandria Venture Investments, ARCH Venture Partners, Atlas Venture, Casdin Capital, Foresite Capital, Surveyor Capital, The Column Group, Willett Advisors, WTT Investment",PARTICIPANT,
PatientFirst.ai — Early Stage VC (2024-01),"Antler, Bantam Group, Harvard University, Pillar VC",PARTICIPANT,
Alden Scientific — Seed Round (2024-01),"Arben Ventures, Deep Future, quadraScope Ventures, Satori Capital, Service Provider Capital",PARTICIPANT,
Azara Healthcare — Buyout/LBO (2024-01),"Hughes & Company, Insight Partners (New York)",PARTICIPANT,
Healthero — PE Growth/Expansion (2024-01),Claret Capital Partners,PARTICIPANT,
MabLab — Grant (2024-01),"Columbia Engineering Entrepreneurship, Harvard President's Challenge",PARTICIPANT,
Quarksen — Grant (2024-01),U. S. National Science Foundation,PARTICIPANT,
Tevard Biosciences — Later Stage VC (2023-12),"CureDuchenne Ventures, Good Growth Capital, Hibiscus Capital Management, Lauder Partners, New Day Venture Capital, PhiFund Ventures, Zogenix",PARTICIPANT,
Teal Bio — Early Stage VC (2023-12),"Caligan Partners, Greentown Labs, Innocreative Capital",PARTICIPANT,
Matrisome Bio — Seed Round (2023-12),"BOLD Capital Partners, Endless Frontier Labs, Engine Ventures, Pacific 8 Ventures",PARTICIPANT,
Molecular Loop — Grant (2023-12),Gates Foundation,PARTICIPANT,
Osteologic — Seed Round (2023-12),"Curie.Bio, New York Ventures, Nucleate, Pillar VC",PARTICIPANT,
Cerberus Therapeutics — Early Stage VC (2023-12),Gates Foundation,PARTICIPANT,
Seismic Therapeutic — Early Stage VC (2023-12),"10X Capital, Aberdeen, Alexandria Venture Investments, Amgen Ventures, Bessemer Venture Partners, Boxer Capital, Calm Ventures, Codon Capital, Gaingels, GC&H Investments, GV, Lightspeed Venture Partners, Mana Ventures, Other People's Capital, PagsGroup, Polaris Partners, Samsara BioCapital, SymBiosis Capital Management, Timothy Springer",PARTICIPANT,
